name,department,account_status,sharepoint_access,antivirus_status
Sr. Henrique Rocha,Marketing,Ativo,Owner,Quarentena
Emilly Melo,RH,Ativo,Visitante,Atualizado
Luara da Mata,RH,Inativo,Owner,Atualizado
Dr. Paulo Cavalcanti,TI,Ativo,Owner,Quarentena
Bianca da Cunha,Vendas,Inativo,Visitante,Atualizado
Zoe Cunha,Vendas,Inativo,Visitante,Atualizado
Alana da Luz,Vendas,Ativo,Owner,Atualizado
Luiz Henrique Costela,Operações,Ativo,Membro,Quarentena
Srta. Bianca da Mata,TI,Ativo,Membro,Atualizado
Dr. Luiz Miguel da Cunha,Financeiro,Ativo,Owner,Quarentena
Giovanna Rodrigues,Marketing,Ativo,Owner,Atualizado
Davi Lucas Porto,TI,Inativo,Membro,Atualizado
Nathan Moura,Vendas,Ativo,Membro,Quarentena
Lara Novais,Marketing,Inativo,Membro,Quarentena
Luiz Miguel Sá,Marketing,Inativo,Visitante,Quarentena
Mariana Albuquerque,Marketing,Inativo,Membro,Quarentena
Hadassa Cunha,TI,Ativo,Owner,Atualizado
Ana Lívia Ramos,Financeiro,Ativo,Visitante,Quarentena
Erick Garcia,TI,Ativo,Membro,Quarentena
Vinícius Garcia,Operações,Ativo,Owner,Atualizado
Daniel Lima,Operações,Inativo,Membro,Quarentena
Sarah Rezende,TI,Inativo,Visitante,Atualizado
Cecília Pinto,Vendas,Ativo,Owner,Atualizado
Alícia Pimenta,Operações,Ativo,Membro,Quarentena
Bella da Mata,RH,Ativo,Owner,Quarentena
Dr. Isaac Mendonça,Vendas,Inativo,Visitante,Atualizado
Anthony das Neves,RH,Ativo,Visitante,Quarentena
Emilly Machado,RH,Inativo,Owner,Quarentena
Maria Luísa Sá,Marketing,Inativo,Visitante,Atualizado
Dra. Isabella Silveira,TI,Ativo,Visitante,Atualizado
Theodoro Garcia,Operações,Ativo,Membro,Atualizado
Marcelo Rocha,Operações,Inativo,Membro,Atualizado
Cecilia da Rosa,Vendas,Inativo,Visitante,Atualizado
Augusto Silveira,Financeiro,Ativo,Visitante,Atualizado
Davi Lucas Lima,Marketing,Ativo,Visitante,Quarentena
Sr. Calebe Jesus,Operações,Inativo,Visitante,Quarentena
Enzo da Mota,Vendas,Inativo,Membro,Quarentena
João Miguel Rezende,Vendas,Ativo,Visitante,Quarentena
Daniela Viana,Marketing,Ativo,Visitante,Atualizado
Luiz Henrique Porto,Marketing,Inativo,Membro,Quarentena
Sr. Apollo Santos,TI,Inativo,Membro,Quarentena
Henry Gabriel da Cruz,Marketing,Inativo,Membro,Quarentena
Cecilia Machado,Vendas,Ativo,Visitante,Atualizado
Sr. Lucas Sales,RH,Ativo,Owner,Quarentena
Ana Júlia Monteiro,Vendas,Ativo,Membro,Quarentena
Srta. Emanuelly Rocha,Vendas,Ativo,Owner,Quarentena
Ravi Lopes,Financeiro,Inativo,Membro,Atualizado
Maria Clara da Cruz,Financeiro,Inativo,Membro,Quarentena
Bianca Pereira,TI,Ativo,Membro,Quarentena
